Herstellernummer,Zulassung,Gemeinden,Number of Vehicle,Defective Vehicle,Number of Components,Defective Components,Number of Parts,Defective Parts
1,2014-01-29,BOCHUM,12,1,48,4,156,17
1,2014-01-29,DORTMUND,22,2,88,9,286,39
1,2014-01-29,GELSENKIRCHEN,8,2,32,3,104,15
1,2014-01-30,BOCHUM,58,9,232,22,754,77
1,2014-01-30,DORTMUND,64,5,256,28,832,86
1,2014-01-30,GELSENKIRCHEN,30,4,120,19,390,46
1,2014-01-31,BOCHUM,8,3,32,0,104,11
1,2014-01-31,DORTMUND,12,2,48,7,156,14
1,2014-01-31,GELSENKIRCHEN,4,1,16,2,52,6
1,2014-02-03,BOCHUM,12,1,48,5,156,18
1,2014-02-03,DORTMUND,18,2,72,12,234,21
1,2014-02-03,GELSENKIRCHEN,4,0,16,1,52,3
1,2014-02-04,BOCHUM,20,3,80,9,260,37
1,2014-02-04,DORTMUND,46,7,184,23,598,67
1,2014-02-04,GELSENKIRCHEN,10,2,40,4,130,16
1,2014-02-05,DORTMUND,8,0,32,4,104,17
1,2014-02-06,BOCHUM,2,0,8,0,26,5
1,2014-02-06,DORTMUND,12,1,48,7,156,16
1,2014-02-07,BOCHUM,6,0,24,4,78,7
1,2014-02-07,DORTMUND,10,3,40,4,130,17
1,2014-02-10,DORTMUND,2,0,8,1,26,0
1,2014-02-10,GELSENKIRCHEN,8,0,32,4,104,15
1,2014-02-10,NORDKIRCHEN,2,0,8,3,26,8
1,2014-02-11,DORTMUND,4,0,16,3,52,3
1,2014-02-12,BOCHUM,4,2,16,3,52,6
1,2014-02-12,DORTMUND,10,1,40,5,130,19
1,2014-02-13,BOCHUM,12,1,48,1,156,18
1,2014-02-13,DORTMUND,16,2,64,9,208,14
1,2014-02-13,GELSENKIRCHEN,6,1,24,3,78,7
1,2014-02-14,BOCHUM,8,0,32,2,104,17
1,2014-02-14,DORTMUND,14,2,56,10,182,20
1,2014-02-14,GELSENKIRCHEN,4,0,16,4,52,3
1,2014-02-17,BOCHUM,12,2,48,3,156,19
1,2014-02-17,DORTMUND,20,4,80,7,260,16
1,2014-02-17,GELSENKIRCHEN,4,1,16,1,52,7
1,2014-02-20,BOCHUM,12,0,48,7,156,12
1,2014-02-20,DORTMUND,6,0,24,3,78,11
1,2014-02-20,GELSENKIRCHEN,10,1,40,6,130,9
1,2014-02-20,NORDKIRCHEN,6,0,24,2,78,7
1,2014-02-21,BOCHUM,158,14,632,86,2054,206
1,2014-02-21,GELSENKIRCHEN,40,5,160,19,520,53
1,2014-02-24,BOCHUM,18,2,72,12,234,23
1,2014-02-24,DORTMUND,42,3,168,8,546,62
1,2014-02-24,GELSENKIRCHEN,12,1,48,3,156,16
1,2014-02-25,BOCHUM,2,1,8,1,26,1
1,2014-02-25,DORTMUND,8,2,32,5,104,6
1,2014-02-26,DORTMUND,21,0,84,8,273,30
1,2014-02-27,BOCHUM,2,0,8,0,26,5
1,2014-02-27,GELSENKIRCHEN,18,2,72,12,234,22
1,2014-02-27,NORDKIRCHEN,4,1,16,2,52,7
1,2014-02-28,GELSENKIRCHEN,3,0,12,1,39,4
1,2014-03-03,BOCHUM,12,1,48,7,156,17
1,2014-03-03,DORTMUND,24,1,96,11,312,34
1,2014-03-03,GELSENKIRCHEN,8,4,32,4,104,11
1,2014-03-04,BOCHUM,38,4,152,17,494,49
1,2014-03-04,DORTMUND,50,6,200,22,650,66
1,2014-03-04,GELSENKIRCHEN,20,3,80,14,260,27
1,2014-03-05,BOCHUM,6,1,24,4,78,9
1,2014-03-05,DORTMUND,12,0,48,7,156,18
1,2014-03-06,BOCHUM,10,0,40,4,130,8
1,2014-03-06,DORTMUND,16,1,64,12,208,22
1,2014-03-06,GELSENKIRCHEN,2,0,8,2,26,4
1,2014-03-07,BOCHUM,8,0,32,2,104,9
1,2014-03-07,DORTMUND,14,2,56,5,182,19
1,2014-03-07,GELSENKIRCHEN,2,0,8,2,26,2
1,2014-03-10,DORTMUND,6,0,24,3,78,7
1,2014-03-11,BOCHUM,4,0,16,4,52,6
1,2014-03-11,DORTMUND,10,3,40,4,130,12
1,2014-03-11,NORDKIRCHEN,2,0,8,0,26,5
1,2014-03-12,BOCHUM,8,1,32,6,104,10
1,2014-03-12,DORTMUND,14,0,56,7,182,25
1,2014-03-12,GELSENKIRCHEN,4,1,16,2,52,5
1,2014-03-12,NORDKIRCHEN,2,1,8,1,26,3
1,2014-03-13,BOCHUM,16,1,64,6,208,24
1,2014-03-13,DORTMUND,26,3,104,11,338,31
1,2014-03-13,GELSENKIRCHEN,8,1,32,7,104,8
1,2014-03-14,BOCHUM,12,2,48,9,156,15
1,2014-03-14,DORTMUND,18,1,72,5,234,23
1,2014-03-14,GELSENKIRCHEN,6,0,24,2,78,9
1,2014-03-17,BOCHUM,18,2,72,7,234,26
1,2014-03-17,DORTMUND,34,3,136,13,442,39
1,2014-03-17,GELSENKIRCHEN,10,0,40,6,130,16
1,2014-03-19,NORDKIRCHEN,6,0,24,3,78,14
1,2014-03-20,BOCHUM,18,3,72,5,234,23
1,2014-03-20,DORTMUND,40,2,160,24,520,60
1,2014-03-20,GELSENKIRCHEN,10,2,40,7,130,9
1,2014-03-21,BOCHUM,137,12,548,68,1781,194
1,2014-03-21,GELSENKIRCHEN,160,15,640,71,2080,221
1,2014-03-24,NORDKIRCHEN,2,0,8,1,26,2
1,2014-03-25,BOCHUM,4,1,16,3,52,2
1,2014-03-25,DORTMUND,12,2,48,8,156,21
1,2014-03-26,BOCHUM,44,7,176,20,572,64
1,2014-03-26,DORTMUND,46,4,184,15,598,64
1,2014-03-26,GELSENKIRCHEN,20,1,80,9,260,29
1,2014-03-27,NORDKIRCHEN,2,1,8,1,26,2
1,2014-03-28,BOCHUM,26,0,104,13,338,43
1,2014-03-28,DORTMUND,48,4,192,21,624,68
1,2014-03-28,GELSENKIRCHEN,10,1,40,4,130,6
1,2014-04-01,BOCHUM,6,0,24,2,78,13
1,2014-04-01,DORTMUND,14,1,56,7,182,16
1,2014-04-01,GELSENKIRCHEN,4,1,16,0,52,5
1,2014-04-01,NORDKIRCHEN,4,0,16,6,52,6
1,2014-04-02,BOCHUM,2,0,8,2,26,4
1,2014-04-02,DORTMUND,8,0,32,7,104,9
1,2014-04-02,NORDKIRCHEN,2,0,8,0,26,2
1,2014-04-03,BOCHUM,12,0,48,3,156,11
1,2014-04-03,DORTMUND,22,2,88,9,286,40
1,2014-04-03,GELSENKIRCHEN,6,1,24,1,78,11
1,2014-04-04,BOCHUM,40,6,160,17,520,55
1,2014-04-04,DORTMUND,52,2,208,29,676,84
1,2014-04-04,GELSENKIRCHEN,16,1,64,6,208,25
1,2014-04-07,BOCHUM,8,1,32,3,104,9
1,2014-04-07,DORTMUND,14,3,56,8,182,17
1,2014-04-08,BOCHUM,30,4,120,14,390,43
1,2014-04-08,DORTMUND,46,5,184,27,598,53
1,2014-04-08,GELSENKIRCHEN,22,1,88,14,286,34
1,2014-04-10,DORTMUND,6,1,24,1,78,6
1,2014-04-10,NORDKIRCHEN,4,1,16,0,52,11
1,2014-04-11,BOCHUM,4,0,16,2,52,1
1,2014-04-11,DORTMUND,10,0,40,2,130,16
1,2014-04-14,BOCHUM,10,2,40,2,130,12
1,2014-04-14,DORTMUND,18,2,72,9,234,39
1,2014-04-14,GELSENKIRCHEN,6,0,24,2,78,9
1,2014-04-15,DORTMUND,6,0,24,5,78,6
1,2014-04-16,BOCHUM,18,0,72,7,234,29
1,2014-04-16,DORTMUND,30,4,120,16,390,33
1,2014-04-16,GELSENKIRCHEN,8,0,32,2,104,10
1,2014-04-18,BOCHUM,14,0,56,4,182,28
1,2014-04-18,DORTMUND,30,3,120,13,390,44
1,2014-04-18,GELSENKIRCHEN,8,1,32,6,104,14
1,2014-04-21,BOCHUM,138,13,552,58,1794,175
1,2014-04-21,DORTMUND,132,9,528,54,1716,188
1,2014-04-21,GELSENKIRCHEN,150,18,600,74,1950,205
1,2014-04-22,DORTMUND,6,0,24,2,78,12
1,2014-04-24,BOCHUM,24,3,96,8,312,33
1,2014-04-24,DORTMUND,40,5,160,22,520,65
1,2014-04-24,GELSENKIRCHEN,12,2,48,8,156,11
1,2014-04-25,BOCHUM,6,0,24,4,78,9
1,2014-04-25,DORTMUND,12,0,48,5,156,14
1,2014-04-28,BOCHUM,20,2,80,12,260,31
1,2014-04-28,DORTMUND,34,2,136,15,442,47
1,2014-04-28,GELSENKIRCHEN,10,1,40,4,130,18
1,2014-04-30,BOCHUM,60,1,240,29,780,73
1,2014-04-30,DORTMUND,76,8,304,44,988,96
1,2014-04-30,GELSENKIRCHEN,36,4,144,14,468,50
1,2014-05-01,BOCHUM,8,1,32,7,104,12
1,2014-05-01,DORTMUND,14,1,56,3,182,20
1,2014-05-01,GELSENKIRCHEN,2,0,8,0,26,2
1,2014-05-02,DORTMUND,6,1,24,2,78,8
1,2014-05-02,NORDKIRCHEN,2,0,8,2,26,4
1,2014-05-05,BOCHUM,4,0,16,1,52,8
1,2014-05-05,DORTMUND,10,0,40,1,130,14
1,2014-05-06,BOCHUM,8,2,32,3,104,8
1,2014-05-06,DORTMUND,14,1,56,7,182,17
1,2014-05-07,BOCHUM,8,0,32,5,104,14
1,2014-05-07,DORTMUND,14,1,56,6,182,17
1,2014-05-09,BOCHUM,12,0,48,6,156,19
1,2014-05-09,DORTMUND,24,3,96,6,312,46
1,2014-05-09,GELSENKIRCHEN,8,2,32,2,104,11
1,2014-05-12,NORDKIRCHEN,2,0,8,1,26,4
1,2014-05-13,BOCHUM,16,0,64,8,208,17
1,2014-05-13,DORTMUND,28,5,112,11,364,39
1,2014-05-13,GELSENKIRCHEN,10,1,40,7,130,19
1,2014-05-15,DORTMUND,6,0,24,4,78,6
1,2014-05-16,BOCHUM,16,2,64,8,208,24
1,2014-05-16,DORTMUND,10,2,40,6,130,17
1,2014-05-16,GELSENKIRCHEN,10,0,40,13,130,13
1,2014-05-19,NORDKIRCHEN,6,1,24,4,78,13
1,2014-05-20,BOCHUM,24,1,96,11,312,32
1,2014-05-20,DORTMUND,32,4,128,17,416,43
1,2014-05-20,GELSENKIRCHEN,10,2,40,6,130,12
1,2014-05-21,DORTMUND,124,8,496,65,1612,185
1,2014-05-21,GELSENKIRCHEN,92,7,368,52,1196,103
1,2014-05-22,DORTMUND,6,3,24,1,78,6
1,2014-05-23,BOCHUM,34,3,136,23,442,55
1,2014-05-23,DORTMUND,48,5,192,21,624,76
1,2014-05-23,GELSENKIRCHEN,18,3,72,11,234,30
1,2014-05-26,BOCHUM,35,4,140,21,455,53
1,2014-05-26,GELSENKIRCHEN,18,0,72,11,234,25
1,2014-05-27,DORTMUND,2,0,8,0,26,5
1,2014-05-28,BOCHUM,18,2,72,9,234,24
1,2014-05-28,DORTMUND,44,4,176,20,572,61
1,2014-05-28,GELSENKIRCHEN,12,4,48,7,156,15
1,2014-05-29,BOCHUM,2,0,8,1,26,7
1,2014-05-29,GELSENKIRCHEN,10,0,40,9,130,12
1,2014-05-30,BOCHUM,60,5,240,29,780,86
1,2014-05-30,DORTMUND,72,6,288,39,936,113
1,2014-05-30,GELSENKIRCHEN,36,2,144,13,468,47
1,2014-06-02,NORDKIRCHEN,2,0,8,1,26,1
1,2014-06-03,BOCHUM,12,1,48,4,156,18
1,2014-06-03,DORTMUND,20,4,80,7,260,21
1,2014-06-03,GELSENKIRCHEN,6,1,24,4,78,12
1,2014-06-04,BOCHUM,40,3,160,21,520,53
1,2014-06-04,DORTMUND,54,6,216,23,702,78
1,2014-06-04,GELSENKIRCHEN,18,2,72,5,234,17
1,2014-06-05,BOCHUM,6,0,24,0,78,11
1,2014-06-05,DORTMUND,10,2,40,4,130,14
1,2014-06-06,BOCHUM,8,2,32,7,104,9
1,2014-06-06,DORTMUND,14,2,56,6,182,30
1,2014-06-10,DORTMUND,6,0,24,4,78,6
1,2014-06-10,NORDKIRCHEN,4,0,16,3,52,6
1,2014-06-11,BOCHUM,4,0,16,2,52,4
1,2014-06-11,DORTMUND,10,2,40,4,130,9
1,2014-06-12,BOCHUM,6,0,24,1,78,9
1,2014-06-12,DORTMUND,12,1,48,4,156,18
1,2014-06-12,GELSENKIRCHEN,2,0,8,1,26,1
1,2014-06-13,BOCHUM,16,2,64,5,208,21
1,2014-06-13,DORTMUND,24,1,96,13,312,39
1,2014-06-13,GELSENKIRCHEN,10,1,40,3,130,16
1,2014-06-16,BOCHUM,18,0,72,11,234,28
1,2014-06-16,DORTMUND,30,3,120,14,390,42
1,2014-06-16,GELSENKIRCHEN,8,1,32,3,104,7
1,2014-06-18,BOCHUM,14,2,56,9,182,14
1,2014-06-18,DORTMUND,30,4,120,17,390,42
1,2014-06-18,GELSENKIRCHEN,8,1,32,5,104,12
1,2014-06-19,NORDKIRCHEN,4,0,16,2,52,8
1,2014-06-20,BOCHUM,14,3,56,6,182,15
1,2014-06-20,DORTMUND,26,3,104,10,338,30
1,2014-06-20,GELSENKIRCHEN,8,1,32,2,104,11
1,2014-06-24,BOCHUM,24,2,96,11,312,36
1,2014-06-24,DORTMUND,42,8,168,23,546,59
1,2014-06-24,GELSENKIRCHEN,12,0,48,7,156,25
1,2014-06-26,BOCHUM,38,5,152,18,494,50
1,2014-06-26,DORTMUND,54,5,216,26,702,74
1,2014-06-26,GELSENKIRCHEN,18,2,72,11,234,23
1,2014-06-27,DORTMUND,2,0,8,1,26,1
1,2014-06-27,NORDKIRCHEN,2,1,8,1,26,3
1,2014-06-30,BOCHUM,62,8,248,35,806,95
1,2014-06-30,DORTMUND,76,10,304,54,988,125
1,2014-06-30,GELSENKIRCHEN,44,3,176,22,572,46
1,2014-07-01,BOCHUM,6,1,24,5,78,5
1,2014-07-01,DORTMUND,14,0,56,7,182,17
1,2014-07-01,GELSENKIRCHEN,2,0,8,3,26,3
1,2014-07-02,DORTMUND,6,0,24,2,78,11
1,2014-07-02,NORDKIRCHEN,2,0,8,3,26,2
1,2014-07-03,BOCHUM,12,0,48,7,156,15
1,2014-07-03,DORTMUND,22,2,88,15,286,31
1,2014-07-03,GELSENKIRCHEN,4,0,16,1,52,5
1,2014-07-07,BOCHUM,6,1,24,2,78,12
1,2014-07-07,DORTMUND,12,1,48,11,156,19
1,2014-07-07,GELSENKIRCHEN,4,1,16,4,52,5
1,2014-07-08,BOCHUM,34,6,136,14,442,40
1,2014-07-08,DORTMUND,48,7,192,19,624,70
1,2014-07-08,GELSENKIRCHEN,18,2,72,9,234,18
1,2014-07-10,DORTMUND,4,0,16,1,52,7
1,2014-07-10,NORDKIRCHEN,2,0,8,3,26,3
1,2014-07-11,DORTMUND,8,4,32,3,104,10
1,2014-07-11,NORDKIRCHEN,2,0,8,0,26,3
1,2014-07-14,BOCHUM,10,0,40,7,130,20
1,2014-07-14,DORTMUND,16,2,64,4,208,20
1,2014-07-14,GELSENKIRCHEN,6,0,24,3,78,10
1,2014-07-15,DORTMUND,6,0,24,4,78,8
1,2014-07-17,BOCHUM,12,1,48,2,156,14
1,2014-07-17,DORTMUND,28,3,112,16,364,44
1,2014-07-17,GELSENKIRCHEN,8,2,32,5,104,12
1,2014-07-18,BOCHUM,14,1,56,8,182,17
1,2014-07-18,DORTMUND,28,3,112,13,364,40
1,2014-07-18,GELSENKIRCHEN,6,0,24,0,78,9
1,2014-07-21,BOCHUM,140,13,560,82,1820,218
1,2014-07-21,DORTMUND,136,18,544,68,1768,176
1,2014-07-21,GELSENKIRCHEN,85,7,340,28,1105,126
1,2014-07-22,DORTMUND,6,0,24,4,78,5
1,2014-07-23,BOCHUM,26,2,104,18,338,46
1,2014-07-23,DORTMUND,19,0,76,12,247,28
1,2014-07-23,GELSENKIRCHEN,14,1,56,9,182,26
1,2014-07-24,BOCHUM,14,1,56,4,182,17
1,2014-07-24,GELSENKIRCHEN,16,0,64,9,208,20
1,2014-07-24,NORDKIRCHEN,4,1,16,3,52,4
1,2014-07-25,BOCHUM,6,0,24,3,78,9
1,2014-07-25,DORTMUND,12,3,48,6,156,12
1,2014-07-25,GELSENKIRCHEN,2,0,8,0,26,4
1,2014-07-28,BOCHUM,14,1,56,10,182,17
1,2014-07-28,DORTMUND,40,4,160,16,520,61
1,2014-07-28,GELSENKIRCHEN,10,1,40,2,130,12
1,2014-07-30,BOCHUM,72,10,288,28,936,109
1,2014-07-30,DORTMUND,70,10,280,23,910,95
1,2014-07-30,GELSENKIRCHEN,34,5,136,19,442,39
1,2014-07-31,BOCHUM,10,0,40,5,130,13
1,2014-07-31,DORTMUND,20,0,80,15,260,31
1,2014-07-31,GELSENKIRCHEN,6,0,24,0,78,8
1,2014-08-01,BOCHUM,4,1,16,0,52,5
1,2014-08-01,DORTMUND,10,0,40,4,130,15
1,2014-08-04,BOCHUM,20,2,80,7,260,29
1,2014-08-04,DORTMUND,42,7,168,16,546,53
1,2014-08-04,GELSENKIRCHEN,10,2,40,2,130,13
1,2014-08-08,BOCHUM,26,4,104,11,338,26
1,2014-08-08,DORTMUND,36,1,144,20,468,56
1,2014-08-08,GELSENKIRCHEN,8,1,32,6,104,13
1,2014-08-11,DORTMUND,4,0,16,4,52,10
1,2014-08-12,BOCHUM,2,0,8,1,26,6
1,2014-08-12,DORTMUND,8,2,32,3,104,14
1,2014-08-13,BOCHUM,14,1,56,4,182,23
1,2014-08-13,DORTMUND,18,3,72,7,234,21
1,2014-08-13,GELSENKIRCHEN,6,0,24,6,78,11
1,2014-08-14,BOCHUM,6,0,24,3,78,11
1,2014-08-14,DORTMUND,12,2,48,4,156,17
1,2014-08-14,GELSENKIRCHEN,4,1,16,1,52,5
1,2014-08-15,DORTMUND,2,0,8,2,26,2
1,2014-08-18,BOCHUM,8,0,32,3,104,13
1,2014-08-18,DORTMUND,26,2,104,9,338,45
1,2014-08-18,GELSENKIRCHEN,6,0,24,4,78,7
1,2014-08-19,GELSENKIRCHEN,19,2,76,6,247,16
1,2014-08-19,NORDKIRCHEN,2,0,8,2,26,3
1,2014-08-20,BOCHUM,8,0,32,4,104,14
1,2014-08-20,DORTMUND,26,3,104,7,338,40
1,2014-08-20,GELSENKIRCHEN,2,0,8,0,26,7
1,2014-08-21,BOCHUM,123,15,492,59,1599,157
1,2014-08-21,DORTMUND,136,18,544,71,1768,194
1,2014-08-22,DORTMUND,2,0,8,2,26,3
1,2014-08-22,NORDKIRCHEN,4,1,16,2,52,5
1,2014-08-25,BOCHUM,4,1,16,2,52,5
1,2014-08-25,DORTMUND,8,0,32,5,104,17
1,2014-08-26,BOCHUM,28,1,112,13,364,41
1,2014-08-26,DORTMUND,48,3,192,23,624,64
1,2014-08-26,GELSENKIRCHEN,14,0,56,8,182,17
1,2014-08-27,GELSENKIRCHEN,8,0,32,4,104,8
1,2014-08-28,BOCHUM,16,2,64,6,208,28
1,2014-08-28,DORTMUND,20,2,80,5,260,42
1,2014-08-28,GELSENKIRCHEN,8,2,32,1,104,8
1,2014-08-29,BOCHUM,14,1,56,5,182,23
1,2014-08-29,DORTMUND,22,2,88,18,286,32
1,2014-08-29,GELSENKIRCHEN,10,1,40,7,130,22
1,2014-09-01,NORDKIRCHEN,4,0,16,1,52,3
1,2014-09-02,NORDKIRCHEN,2,0,8,1,26,3
1,2014-09-03,BOCHUM,12,2,48,5,156,19
1,2014-09-03,DORTMUND,3,0,12,0,39,4
1,2014-09-03,GELSENKIRCHEN,4,0,16,2,52,8
1,2014-09-04,BOCHUM,38,7,152,17,494,49
1,2014-09-04,DORTMUND,50,8,200,29,650,70
1,2014-09-04,GELSENKIRCHEN,18,3,72,14,234,22
1,2014-09-05,BOCHUM,4,0,16,1,52,4
1,2014-09-05,DORTMUND,10,1,40,5,130,18
1,2014-09-08,BOCHUM,30,3,120,13,390,40
1,2014-09-08,DORTMUND,46,1,184,18,598,72
1,2014-09-08,GELSENKIRCHEN,14,1,56,7,182,24
1,2014-09-10,DORTMUND,4,1,16,3,52,4
1,2014-09-11,DORTMUND,8,1,32,2,104,8
1,2014-09-12,BOCHUM,6,0,24,1,78,8
1,2014-09-12,DORTMUND,12,1,48,5,156,16
1,2014-09-15,DORTMUND,6,0,24,3,78,10
1,2014-09-16,BOCHUM,12,2,48,7,156,21
1,2014-09-16,DORTMUND,26,4,104,13,338,36
1,2014-09-16,GELSENKIRCHEN,10,2,40,3,130,11
1,2014-09-17,BOCHUM,10,1,40,3,130,18
1,2014-09-17,DORTMUND,24,5,96,10,312,36
1,2014-09-17,GELSENKIRCHEN,8,1,32,1,104,14
1,2014-09-18,BOCHUM,14,0,56,6,182,20
1,2014-09-18,DORTMUND,30,2,120,13,390,44
1,2014-09-18,GELSENKIRCHEN,6,1,24,4,78,6
1,2014-09-19,NORDKIRCHEN,4,2,16,1,52,7
1,2014-09-22,DORTMUND,6,0,24,3,78,10
1,2014-09-23,BOCHUM,5,0,20,2,65,4
1,2014-09-23,GELSENKIRCHEN,16,2,64,7,208,22
1,2014-09-24,BOCHUM,22,2,88,11,286,31
1,2014-09-24,DORTMUND,34,2,136,14,442,46
1,2014-09-24,GELSENKIRCHEN,12,2,48,7,156,17
1,2014-09-25,BOCHUM,6,0,24,2,78,8
1,2014-09-25,DORTMUND,6,0,24,1,78,5
1,2014-09-25,GELSENKIRCHEN,2,0,8,3,26,2
1,2014-09-26,BOCHUM,38,4,152,14,494,35
1,2014-09-26,DORTMUND,56,4,224,25,728,80
1,2014-09-26,GELSENKIRCHEN,20,2,80,8,260,32
1,2014-09-29,BOCHUM,18,2,72,11,234,19
1,2014-09-29,DORTMUND,38,4,152,24,494,58
1,2014-09-29,GELSENKIRCHEN,10,0,40,6,130,12
1,2014-09-30,BOCHUM,56,5,224,23,728,76
1,2014-09-30,DORTMUND,76,8,304,24,988,118
1,2014-09-30,GELSENKIRCHEN,7,0,28,2,91,13
1,2014-10-01,BOCHUM,8,1,32,2,104,12
1,2014-10-01,DORTMUND,14,0,56,8,182,17
1,2014-10-01,GELSENKIRCHEN,2,0,8,2,26,5
1,2014-10-02,DORTMUND,6,1,24,2,78,3
1,2014-10-02,NORDKIRCHEN,2,0,8,0,26,2
1,2014-10-03,BOCHUM,12,2,48,6,156,13
1,2014-10-03,DORTMUND,26,2,104,13,338,33
1,2014-10-03,GELSENKIRCHEN,6,2,24,2,78,13
1,2014-10-06,BOCHUM,8,2,32,3,104,16
1,2014-10-06,DORTMUND,14,0,56,8,182,20
1,2014-10-08,BOCHUM,34,2,136,19,442,45
1,2014-10-08,DORTMUND,46,7,184,26,598,63
1,2014-10-08,GELSENKIRCHEN,22,1,88,9,286,26
1,2014-10-09,BOCHUM,12,1,48,7,156,17
1,2014-10-09,DORTMUND,20,1,80,7,260,29
1,2014-10-09,GELSENKIRCHEN,8,2,32,4,104,11
1,2014-10-10,DORTMUND,6,0,24,2,78,8
1,2014-10-10,NORDKIRCHEN,2,0,8,1,26,4
1,2014-10-14,BOCHUM,10,1,40,3,130,12
1,2014-10-14,DORTMUND,15,2,60,6,195,20
1,2014-10-14,GELSENKIRCHEN,6,1,24,3,78,11
1,2014-10-15,DORTMUND,6,0,24,2,78,6
1,2014-10-16,BOCHUM,16,6,64,3,208,21
1,2014-10-16,DORTMUND,28,3,112,11,364,37
1,2014-10-16,GELSENKIRCHEN,10,1,40,5,130,20
1,2014-10-17,BOCHUM,14,1,56,6,182,13
1,2014-10-17,DORTMUND,32,2,128,10,416,50
1,2014-10-17,GELSENKIRCHEN,6,0,24,1,78,10
1,2014-10-20,BOCHUM,24,1,96,15,312,34
1,2014-10-20,DORTMUND,24,1,96,11,312,33
1,2014-10-20,GELSENKIRCHEN,10,2,40,3,130,17
1,2014-10-21,BOCHUM,140,13,560,49,1820,221
1,2014-10-21,GELSENKIRCHEN,154,17,616,65,2002,236
1,2014-10-23,BOCHUM,34,0,136,16,442,49
1,2014-10-23,DORTMUND,50,5,200,21,650,54
1,2014-10-23,GELSENKIRCHEN,18,1,72,6,234,30
1,2014-10-24,BOCHUM,18,1,72,5,234,31
1,2014-10-24,DORTMUND,44,2,176,18,572,62
1,2014-10-24,GELSENKIRCHEN,7,0,28,3,91,13
1,2014-10-24,NORDKIRCHEN,4,1,16,0,52,4
1,2014-10-27,DORTMUND,2,0,8,0,26,3
1,2014-10-27,NORDKIRCHEN,2,0,8,1,26,0
1,2014-10-28,BOCHUM,6,0,24,7,78,10
1,2014-10-28,GELSENKIRCHEN,12,0,48,8,156,26
1,2014-10-29,BOCHUM,16,2,64,6,208,19
1,2014-10-29,DORTMUND,38,4,152,15,494,42
1,2014-10-29,GELSENKIRCHEN,10,2,40,6,130,14
1,2014-10-31,BOCHUM,10,0,40,4,130,13
1,2014-10-31,DORTMUND,18,1,72,14,234,27
1,2014-10-31,GELSENKIRCHEN,6,1,24,4,78,10
1,2014-11-04,BOCHUM,34,5,136,14,442,54
1,2014-11-04,DORTMUND,52,4,208,20,676,71
1,2014-11-04,GELSENKIRCHEN,16,1,64,11,208,16
1,2014-11-05,DORTMUND,10,1,40,12,130,10
1,2014-11-05,NORDKIRCHEN,2,1,8,0,26,4
1,2014-11-06,BOCHUM,6,0,24,5,78,10
1,2014-11-06,DORTMUND,12,3,48,3,156,15
1,2014-11-07,BOCHUM,6,1,24,2,78,9
1,2014-11-07,DORTMUND,12,0,48,4,156,14
1,2014-11-10,DORTMUND,4,1,16,1,52,6
1,2014-11-10,NORDKIRCHEN,2,1,8,0,26,2
1,2014-11-12,BOCHUM,6,1,24,2,78,5
1,2014-11-12,DORTMUND,12,1,48,5,156,22
1,2014-11-13,BOCHUM,7,0,28,5,91,11
1,2014-11-13,DORTMUND,18,2,72,7,234,24
1,2014-11-14,BOCHUM,10,0,40,5,130,16
